Country,pts,gdppc,pop,exp_gdp,gdp
Netherlands,2.17,57059.34,17.475,46.581,1095.45
New Zealand,1.882,42409.43,5.112,42.409,238.15
Nicaragua,1.12,5907.13,6.539,30.635,42.44
Niger,1.083,1192.69,25.131,24.203,32.93
Nigeria,1.946,4969.21,211.401,13.297,1154.07
North Macedonia,1.042,16371.85,2.069,35.574,37.21
Norway,1.324,64442.53,5.415,48.185,383.37
Oman,1.568,34258.48,4.527,37.134,170.4
Pakistan,0.125,5449.35,222.59,18.472,1332.56
Panama,1.228,29130.71,4.337,24.829,138.81
Papua New Guinea,1.269,3569.29,8.964,21.281,35.15
Paraguay,1.419,12490.78,7.353,25.309,100.9
Peru,1.137,12764.30,33.829,23.551,474.37
Philippines,0.897,8365.03,110.2,26.817,1012.71
Poland,1.75,34586.93,37.84,44.2,1437.81
Portugal,1.906,33581.28,10.292,48.148,379.69
Puerto Rico,0.966,35143.31,3.121,20.825,120.51
Qatar,1.617,95340.30,2.618,29.377,274.25
Romania,1.775,30890.70,19.202,37.51,651.64
Russia,2.112,28104.88,145.558,35.929,4494.22
Rwanda,0.773,2326.00,12.957,31.56,33.11
Samoa,1.077,5296.74,0.2,34.776,1.16
San Marino,0.026,59559.70,0.034,39.181,2.22
Saudi Arabia,2.022,44954.01,35.459,33.238,1751.18
Senegal,1.676,3429.06,17.204,25.739,64.81
Serbia,2.029,19695.03,6.872,35.125,1.38
Seychelles,0.125,29116.81,0.098,30.204,2.58
St. Kitts and Nevis,1.389,21715.70,8.141,46.572,148.68
St. Lucia,0.917,12870.91,5.454,39.825,3.14
Sierra Leone,0.957,1670.09,5.46,37.494,1.56
St. Vincent and the Grenadines,0.855,12790.36,2.109,28.254,14.94
Singapore,0.974,106032.23,0.7,18.605,635.27
Slovak Republic,1.676,32280.15,15.189,46.833,193.62
Slovenia,1.444,40199.05,60.143,48.934,93.14
Solomon Islands,1.368,2123.89,14.179,36.92,1.63
Somalia,0.462,1132.93,47.399,6.033,18.9
South Africa,1.875,13145.76,22.156,32.976,868.58
South Sudan,0.5,766.99,0.058,38.738,11.95
Spain,2.296,38083.48,0.182,50.601,1983.11
Sri Lanka,0.462,13386.68,0.111,19.913,325.84
Sudan,0.958,3891.41,45.498,9.646,194.51
Suriname,1.159,14726.31,0.61,34.756,9.87
Sweden,1.979,54239.69,10.452,49.857,622.83
Switzerland,1.721,70764.02,8.67,35.038,674.01
Syria,1.52,,n/a,n/a,n/a
Taiwan Province of China,1.311,57069.49,23.375,16.15,1465.54
Tajikistan,1.341,3940.68,9.657,28.236,41.81
Tanzania,1,2826.38,59.73,17.515,185.46
Thailand,1.021,17479.92,69.951,27.252,1343.29
Timor-Leste,0,3880.41,1.344,69.335,5.73
Togo,1.254,2163.58,8.49,22.952,20.18
Tonga,1,5768.54,0.1,49.288,0.63
Trinidad and Tobago,1.418,24465.91,1.407,32.196,37.81
Tunisia,1.929,10481.46,12.019,33.184,138.39
