Country,Points,Continent,GDP
Saudi Arabia,2.022,AFC,"1,751.18"
Senegal,1.676,CAF,64.809
Serbia Serbia and Montenegro FR Yugoslavia SFR Yugoslavia Kingdom of Yugoslavia,2.029,UEFA,148.678
Seychelles,0.125,CAF,3.136
Sierra Leone,0.957,CAF,14.937
Singapore,0.974,AFC,635.266
Slovakia,1.676,UEFA,193.619
Slovenia,1.444,UEFA,93.137
Solomon Islands,1.368,OFC,1.632
Somalia,0.462,CAF,18.904
South Africa,1.875,CAF,868.576
South Sudan,0.5,CAF,11.947
Spain,2.296,UEFA,"1,983.11"
Sri Lanka,0.462,AFC,325.838
Sudan,0.958,CAF,194.509
Suriname Dutch Guiana,1.159,CONCACAF,9.865
Sweden,1.979,UEFA,622.826
Switzerland,1.721,UEFA,674.013
Tajikistan,1.341,AFC,41.806
Tanzania,1,CAF,185.463
Thailand,1.021,AFC,"1,343.29"
Timor-Leste,0,AFC,5.729
Togo,1.254,CAF,20.179
Tonga,1,OFC,0.634
Trinidad and Tobago,1.418,CONCACAF,37.813
Tunisia,1.929,CAF,138.392
Turkey,1.338,UEFA,"2,953.94"
Turkmenistan,1.413,AFC,108.694
Tuvalu,0.25,OFC,0.057
Uganda,1.312,CAF,118.045
Ukraine,1.775,UEFA,588.448
United Arab Emirates,1.517,AFC,724.067
United States,1.738,CONCACAF,"22,996.08"
Uruguay,1.61,CONMEBOL,85.858
Uzbekistan,1.775,AFC,296.689
Vanuatu,1.054,OFC,0.847
Venezuela,0.696,CONMEBOL,168.456
Vietnam South Vietnam,0.966,AFC,"1,134.02"
Yemen North Yemen,0.897,AFC,61.742
Zambia,1.588,CAF,69.245
Zimbabwe Rhodesia,1.217,CAF,36.626
