year, gini , top5 ,,,,,,,,,,,,,,,
" 1,962.00 ", 59.46 , 19.13 ,,,,,,,,,,,,,,,
" 1,963.00 ", 59.34 , 19.11 ,,,,,,,,,,,,,,,
" 1,964.00 ", 59.29 , 19.09 ,,,,,,,,,,,,,,,
" 1,965.00 ", 59.69 , 19.44 ,,,,,,,,,,,,,,,
" 1,966.00 ", 60.14 , 19.91 ,,,,,,,,,,,,,,,
" 1,967.00 ", 60.35 , 19.88 ,,,,,,,,,,,,,,,
" 1,968.00 ", 60.80 , 19.89 ,,,,,,,,,,,,,,,
" 1,969.00 ", 60.73 , 19.61 ,,,,,,,,,,,,,,,
" 1,970.00 ", 60.33 , 19.12 ,,,,,,,,,,,,,,,
" 1,971.00 ", 60.45 , 19.22 ,,,,,,,,,,,,,,,
" 1,972.00 ", 60.94 , 19.36 ,,,,,,,,,,,,,,,
" 1,973.00 ", 61.04 , 19.61 ,,,,,,,,,,,,,,,
" 1,974.00 ", 60.99 , 19.32 ,,,,,,,,,,,,,,,
" 1,975.00 ", 60.64 , 19.10 ,,,,,,,,,,,,,,,
" 1,976.00 ", 61.06 , 19.25 ,,,,,,,,,,,,,,,
" 1,977.00 ", 61.12 , 19.53 ,,,,,,,,,,,,,,,
" 1,978.00 ", 61.09 , 19.84 ,,,,,,,,,,,,,,,
" 1,979.00 ", 61.44 , 20.09 ,,,,,,,,,,,,,,,
" 1,980.00 ", 61.25 , 19.89 ,,,,,,,,,,,,,,,
" 1,981.00 ", 61.30 , 20.22 ,,,,,,,,,,,,,,,
" 1,982.00 ", 60.86 , 19.87 ,,,,,,,,,,,,,,,
" 1,983.00 ", 60.79 , 19.94 ,,,,,,,,,,,,,,,
" 1,984.00 ", 60.92 , 20.46 ,,,,,,,,,,,,,,,
" 1,985.00 ", 60.88 , 20.62 ,,,,,,,,,,,,,,,
" 1,986.00 ", 60.83 , 20.68 ,,,,,,,,,,,,,,,
" 1,987.00 ", 60.84 , 20.81 ,,,,,,,,,,,,,,,
" 1,988.00 ", 60.92 , 21.00 ,,,,,,,,,,,,,,,
" 1,989.00 ", 61.23 , 21.30 ,,,,,,,,,,,,,,,
" 1,990.00 ", 61.36 , 21.61 ,,,,,,,,,,,,,,,
" 1,991.00 ", 61.26 , 21.59 ,,,,,,,,,,,,,,,
