Country,Population,Population (millions),GDP,GDP (billions),Wins,KO matches,KO wins,WC apps
USA,331002651,331.00,1.94854E+13,19485.39,9,8,1,11
China,1439323776,1439.32,1.22377E+13,12237.70,0,0,0,1
India,1380004385,1380.00,2.65073E+12,2650.73,0,0,0,0
Uruguay ,3473730,3.47,56156972158,56.16,25,21,7,14
Argentina,45195774,45.20,6.3743E+11,637.43,47,32,17,18
Italy,60673701,60.67,1.94384E+12,1943.84,45,32,28,18
