Country,Population,GDP,Wins
USA,331002651,1.94854E+13,9
China,1439323776,1.22377E+13,0
India,1380004385,2.65073E+12,0
Uruguay ,3473730,56156972158,25
Argentina,45195774,6.3743E+11,47
Serbia,6844000,41431648801,18
